FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
282set,CML341,0.0780939,-0.0320008,-0.0131773,0.0571727,0.0448117,-0.037243,-0.0244586,0.0243598,-0.0189314,0.0182147,0.0422864,-0.0423982,-0.00449686,0.0232296,0.0308543,-0.118392,-0.0167367,-0.0441164,-0.0101821,-0.0992663
282set,CMV3,-0.0230177,0.0185664,-0.00167396,0.0246819,-0.0474573,0.024989,-0.00321768,-0.00534282,-0.0143035,-0.00992873,-0.0204732,0.0751094,-0.108132,0.0430947,0.0657242,0.00159502,-0.0402774,0.0432594,-0.025962,-0.0559612
282set,CO106,-0.0218778,0.041714,-0.0100061,0.00787515,-0.01187,0.0124764,0.00694017,-0.0371963,0.000913025,-0.062807,0.00256593,0.02822,-0.0532098,0.0346869,0.0258209,0.00741384,-0.00278767,0.0245363,0.00222031,-0.022541
282set,CO125,-0.0184314,0.0406326,-0.00317933,-0.00274208,-0.00065466,-0.0122291,0.00965664,-0.0101526,0.0250436,-0.0544922,-0.00984681,0.0468216,-0.0576648,0.00891227,0.0846322,-0.0124813,-0.0361946,0.0774159,-0.0129121,0.00921465
282set,CO255,-0.014323,0.0665287,-0.0782171,-0.00789229,0.00489529,0.020128,-0.159207,-0.0351497,0.0392578,0.0636446,0.0120366,-0.0372492,0.062581,0.0188026,0.13218,-0.0699819,0.425009,0.0346991,-0.0813302,0.117177
282set,D940Y,0.00232255,0.0299413,0.0133403,0.0246599,0.0169275,0.00880146,0.00693297,-0.0096258,-0.025043,-0.0232386,-0.0616874,-0.00696142,-0.0507107,0.0268005,0.0307479,0.0238446,-0.00841062,-0.0972018,0.055569,-0.0412725
282set,DE-2,-0.0202004,0.0322419,0.0289608,0.00647276,-0.0372024,-0.0345998,0.0722457,-0.0373684,0.0263978,-0.0456256,0.00659431,-0.0123957,-0.0418287,0.0945487,0.0458041,0.0946509,-0.10278,0.00282613,0.0278546,-0.0997234
282set,DE1,-0.01668,0.0366216,0.0294848,0.00625978,-0.0354353,-0.0309656,0.076686,-0.0441195,0.0410233,-0.0428138,0.0121439,-0.00826132,-0.038467,0.0980101,0.0477373,0.0943215,-0.100553,0.00363652,0.0259289,-0.0989452
282set,DE811,-0.063731,-0.060995,0.0321027,0.0565535,-0.0345742,0.155646,-0.0182609,0.075824,0.0700344,0.0499246,-0.00335083,-0.0213505,0.0369822,0.01834,-0.0152898,-0.0240539,-0.00481444,-0.0132808,0.0564967,0.00685055
282set,E2558W,0.00315889,0.0272834,-0.0164043,0.0276484,-0.00446155,0.00550376,0.0280825,-0.0348926,-0.0350352,-0.0563554,0.0356189,0.0462626,-0.0266595,0.0157785,0.0981432,0.0862191,0.0130777,-0.14901,0.0673338,0.130068
282set,EP1,-0.00174864,0.0640836,-0.0891183,-0.0104832,0.0275928,0.0149535,-0.187988,-0.0427185,0.0436172,0.0744912,-0.0018853,-0.0524656,0.0584033,0.0378319,0.126051,-0.0664856,0.358475,0.016792,-0.0365491,0.108692
